ID,dim,fcn_name,fcn_index,instance_id,init_sigma,init_loc0,init_loc1,init_loc2,init_loc3,init_loc4,init_loc5,init_loc6,init_loc7,init_loc8,init_loc9
0,10,BentCigar,12,0,0.9356128945571974,-0.4215455699365816,1.4968107221843592,-1.6146110617351923,-0.5041728257406597,-0.7193326086365747,0.4049888113249569,1.041992331940094,-1.3582158499827692,0.544425166081092,1.465670861372779
1,10,Discus,11,0,0.5266370556515874,-0.3379476006642843,-0.9085583599050843,-0.6899835585041164,-0.5764558058968828,-1.1587523457086966,-0.2524466020422486,1.9073321880809022,-1.3745465976819784,-1.361874164447261,-0.04245873379281994
2,10,Ellipsoid,2,0,0.6256188131929501,1.5185848453105035,0.3207567009041445,1.1955365450670192,0.3378355861259958,1.0977433465801898,0.6044386546015157,0.45795426888977897,0.7583548685659165,-0.3265208971163661,-0.45583789355338883
3,10,Katsuura,23,0,0.604552233780265,-0.14625453756044882,0.7749561372044236,0.5227693213534946,-2.0717536000145484,-0.3833136518741248,0.38569283703851376,0.2004217270574199,0.3668160302171402,0.713078972348133,-0.9753394839532993
4,10,Rastrigin,15,0,0.7383401845422485,0.5585505722259961,0.6331550654807196,0.40280835647931534,0.3695569446169761,-1.1412164029380425,0.5839259002234131,1.9837918285645182,0.10054362026087102,0.15222474617200568,-0.43403853155188876
5,10,Rosenbrock,8,0,0.6570808435295702,-0.1848249678295979,-0.6075940478503595,1.223941046795526,0.9800007902085308,-1.3023188662954592,-1.162279377216245,-0.18859875740396742,0.6764826637656072,1.4333063513012483,0.22083551513351982
6,10,Schaffers,17,0,0.7889027913769653,-0.41480075555143214,0.003207270712756919,0.05120295409324361,0.2269206148466151,-2.28062410070983,0.5786253935531989,0.4468778617648398,-1.094889256110255,0.6995332345898235,-0.5896221545449979
7,10,Schwefel,20,0,0.8825691534952022,0.38554745844188654,0.7333099572254066,-0.0621734109972275,1.3183677106464262,-0.33341902609105456,-0.10379185720417121,0.3983417511855426,-0.7765510481678376,-0.9004390148558657,-0.5694934330341591
8,10,Sphere,1,0,0.5387764298738537,0.6785322606697567,-1.2851440426170606,-0.8557366588114096,3.3428862512505995,-1.2729234673176824,-0.31968745333226145,2.2390039506419517,0.8125282636617581,-0.13365678116125976,-0.7673456321840234
9,10,Weierstrass,16,0,0.4000220260357096,0.3817420198840888,-0.14644541719501725,-0.07735459917794824,-1.0452172758984035,-0.6807844309570248,1.3928199039768594,-0.3115052254995867,1.844464781868748,-1.271641528111141,0.20655348614713118
10,10,BentCigar,12,0,0.6130348170603992,1.333612638120132,-0.5668040226644769,0.013044883571314564,-2.2245944323054543,-1.28262851666456,0.2517740515451428,0.8787921336307071,0.698336068301604,0.6847476973663169,-1.2481369105196771
